Format: Kata | Sinonim
Batas        | tepi, garis pembatas, limit, ujung, batasnya
Bawa         | angkut, bawa serta, muat, pindahkan, nenteng
Bayar        | lunasi, serahkan uang, membayar, berikan, bayarkan
Bebas        | merdeka, leluasa, tidak terkekang, otonom, independen
Bekal        | persiapan, perlengkapan, bawaan, cadangan, ransum
Bela         | lindungi, proteksi, pertahankan, jaga, perisai
Belah        | bagi, pecah, pisah, potong, cerai
Beli         | borong, beli tunai, perolehan, akuisisi, membeli
Benih        | bibit, biji, embrio, cikal, asal
Bentuk       | wujud, rupa, format, model, pola
Berani       | gagah berani, nekad, tabah, pemberani, tangguh
Beri         | serahkan, kasih, anugrahkan, berikan, hadiahkan
Bersih       | suci, murni, tidak kotor, higenis, steril
Bijak        | arif, bijaksana, cerdas, pandai, bestari
Biru         | lazuardi, safa, biru langit, biru laut, biru tua
Bisa         | mampu, sanggup, dapat, kompeten, boleh
Bocah        | anak kecil, kanak-kanak, si kecil, junior, kiddie
Bodoh        | dungu, tolol, bebal, kurang cerdas, tulalit
Bola         | bola bundar, sphere, benda bulat, balongan, gelondongan bulat
Boros        | hambur, foya-foya, berlebihan, wasteful, mubazir
Bubur        | nasi lembek, nasi tim, congee, makanan lunak, jenang
Buku         | kitab, teks, naskah, pustaka, diktat
Bumi         | dunia, bumi pertiwi, tanah air, planet kita, bumi itu
Bunga        | kembang, mekar, sari bunga, flora, mahkota
Buntu        | macet, buntu jalan, tersumbat, stagnan, tidak ada solusi
Buru         | kejar, tangkap, berburu, laksanakan, panen
Busuk        | membusuk, rusak, basi, rotten, tidak segar
Buta         | tidak melihat, tunanetra, gelap, silau total, tidak tahu
Cahaya       | sinar, terang, kilau, selayang pandang, pencahayaan
Cakap        | pandai, terampil, handal, mahir, kompeten
Cepat        | gesit, tangkas, lekas, segera, ekspres
Cerita       | kisah, narasi, dongeng, hikayat, riwayat
Cinta        | kasih sayang, cinta kasih, asmara, eros, sayang
Coblos       | tusuk, lubangi, pilih, centang, pilih suara
Cabut        | cabutkan, lepaskan, tarik keluar, ungsikan, bawa pergi
Cakram       | piringan, disk, lingkaran pipih, piring, roda
Campur       | aduk, mix, gabungkan, satukan, campurkan
Cantik       | jelita, rupawan, indah, ayu, elok
Cari         | cari tahu, temukan, gali, pungut, telusuri
Catat        | tulis, dokumentasikan, rekam, note down, abadikan
Cegah        | halangi, hindari, bendung, blok, pencegahan
Celah        | sela, lubang kecil, rongga, kesempatan, peluang
Cemas        | khawatir, gelisah, resah, was-was, gusar
Cermat       | teliti, seksama, hati-hati, akurat, presisi
Cermin       | kaca, pantulan, refleksi, bayangan, tembus pandang
Cicil        | angsur, kredit, bayar berkala, nyicil, installment
Cipta        | buat, kreasi, ciptakan, karang, tulis
Cocok        | sesuai, pas, tepat, match, klop
Coret        | hapus, gores, corat-coret, tandai, eliminasi
Cuci         | bersihkan, basuh, siram, laundry, sterilkan
Cukup        | memadai, pas, tidak kurang, adequat, terpenuhi
Culas        | curang, licik, penuh tipu, korup, tidak jujur
Cuma         | hanya, saja, semata, melulu, sekedar
Curiga       | prasangka, sangka buruk, skeptis, menaruh sangka, waspada
Dadah        | narkoba, narkotika, obat terlarang, drugs, zat adiktif
Daftar       | list, catatan, inventaris, roster, register
Dahulu       | dulu, masa lampau, sebelum ini, tempo dulu, terdahulu
Dalam        | interior, di tengah, bagian dalam, ke dalam, mendalam
Damai        | tenteram, aman, harmonis, rukun, damai sentosa
Dana         | uang, modal, biaya, anggaran, dana simpanan
Dapat        | berhasil, peroleh, mampu, capai, raih
Dapur        | pawon, tungku memasak, ruang masak, kitchen, ruang makanan
Darah        | plasma, cairan tubuh, serum, darah merah, hemoglobin
Dasar        | landasan, pondasi, basis, fundamen, prinsip
Datang       | tiba, hadir, sampai, muncul, hadiri
Dedikasi     | pengabdian, ketulusan, loyalitas, komitmen, devotion
Dengar       | simak, dengarkan, perhatikan, cermati, tangkap
Dekat        | berdekatan, saling dekat, proximity, hampir, tidak jauh
Desa         | kampung, perkampungan, dusun, pedalaman, rural
Diam         | sunyi, hening, bisu, tenang, senyap
Didik        | ajar, latih, bimbing, tuntun, bentuk
Diri         | jati diri, individu, sosok, pribadi, identitas
Dorong       | desak, push, gerakkan ke depan, giring, motivasi
Duduk        | bertumpu, kongkow, beristirahat, bersila, menetap
Duka         | sedih, pilu, nestapa, berduka, kesedihan
Dulu         | dahulu, terdahulu, masa lalu, waktu itu, terdahulunya
Dusta        | bohong, fitnah, bual, palsu, pembohongan
Empat        | four, IV, bilangan empat, angka empat, quartet
Enak         | lezat, nikmat, sedap, gurih, yummy
Dagang       | berdagang, jual beli, niaga, bisnis, berjualan
Daging       | daging sapi, daging ayam, otot, flesh, protein hewani
Daki         | panjat, naik, melejit, mendaki, mendaki tinggi
Dalih        | alasan bohong, pembenaran, kambing hitam, excuse, berkilah
Damba        | rindu, inginkan, merindukan, idamkan, nantikan
Dangkal      | tidak mendalam, picik, kurang dalam, superficial, sempit
Daulat       | kedaulatan, kekuasaan, otoritas, sovereinitas, wewenang
Dawai        | senar, kawat tipis, tali gitar, string, senar musik
Debat        | perdebatan, diskusi, adu pendapat, polemik, argumen
Debu         | serbuk, partikel halus, abu halus, kotoran udara, dust
Delap        | kue tradisional, panganan, penganan, kudapan, snack
Dendang      | senandung, nyanyikan, berlagu, menyanyikan, humming
Dendam       | kesumat, kebencian, amarah tersimpan, grudge, sakit hati
Depot        | gudang, tempat simpan, warung makan, kafe, resto
Deras        | kencang, cepat mengalir, deras sekali, kuat, pesat
Deretan      | barisan, baris, kolom, susunan, list
Dermaga      | pelabuhan, pelabuhan kecil, dok, pier, jetty
Desak        | paksa, minta keras, tekan, dorong, kepung
Dewan        | badan, lembaga, komisi, majelis, parlemen
Dewasa       | matang, baligh, adult, tidak kanak-kanak, sudah besar
Doa          | harapan, permohonan, pinta, sembah, munajat
Dobrak       | hancurkan pintu, bongkar paksa, terobos, buka paksa, robohkan
Dompet       | kantong uang, purse, tempat kartu, wallet, saku uang
Dongeng      | cerita rakyat, fabel, legenda, kisah khayal, mitos
Dorongan     | motivasi, impuls, insentif, desakan, stimulus
Dosa         | kesalahan, pelanggaran, khilaf, dosa besar, salah
Dukung       | bantu, sokong, back up, support, topang
Dungu        | bodoh, bebal, tidak cerdas, tulalit, tolol
Dunia        | bumi, jagat, alam, semesta, planet
Durasi       | lamanya, jangka waktu, periode, waktu berlangsung, rentang waktu
Duri         | onak, tajam, sepul, berduri, rintangan
Duta         | perwakilan, utusan, ambassador, wakil resmi, envoy
Energi       | tenaga, kekuatan, daya, power, vitalitas
Fajar        | subuh, pagi buta, awal hari, dini hari, aurora
Fakta        | kenyataan, data, bukti, realita, kebenaran
Fasilitas    | sarana, prasarana, layanan, infrastruktur, akomodasi
Figur        | tokoh, sosok, panutan, teladan, pemuka
Fokus        | konsentrasi, memusatkan, atensi, pusatkan, serius
Forum        | diskusi, musyawarah, kongres, seminar, platform
Fungsi       | kegunaan, manfaat, peran, tugas, purpose
Gabung       | bergabung, satukan, gabungkan, ikut serta, bergaul
Gagal        | kalah, tidak berhasil, tumbang, mati, urung
Gagah        | perkasa, tampan, gagah berani, kuat, berwibawa
Gagasan      | ide, pikiran, konsep, pemikiran, inovasi
Galak        | garang, beringas, ganas, sangar, agresif
Edar         | beredar, berputar, sebarkan, distribusi, circulasi
Ejek         | olok-olok, hina, cemooh, bully, mengejek
Ekor         | buntut, ujung belakang, appendage, bagian belakang, ekornya
Elas         | elastisitas, elastis, kenyal, merenggang, fleksibel
Emosi        | perasaan, rasa, afeksi, sentimen, gejolak hati
Empuk        | lunak, lembut, nyaman ditekan, soft, tidak keras
Encek        | tuan, paman, om, sopan panggilan, encik
Era          | zaman, periode, masa, kurun, tahap
Erang        | merintih, mengeluh, suara kesakitan, keluhan, rintihan
Erat         | kuat, kie, akrab, dekat, tidak mudah lepas
Esai         | tulisan, artikel, opini, karangan, catatan
Estafet      | relay, bergantian, berantai, bergiliran, penerusan
Etika        | moral, akhlak, tata krama, norma, kepantasan
Etnis        | suku, ras, kelompok etnis, golongan, bangsa
Evaluasi     | penilaian, assessment, ulasan kritis, riset, tinjauan
Evolusi      | perkembangan, transformasi, mutasi, perubahan bertahap, adaptasi
Ekspresi     | ungkapan, manifestasi, pernyataan, tampilan, isyarat
Ekspor       | jual ke luar negeri, kirim ke luar negeri, ekspor, penjualan asing, trade
Elemen       | unsur, komponen, bagian, faktor, item
Emas         | logam mulia, permata kuning, kencana, gold, berlian kuning
Empati       | simpati, rasa ikut merasakan, kepedulian, toleransi, ketidakacuhan
Empiris      | berbasis fakta, berdasarkan pengalaman, evidence-based, konkret, nyata
Endap        | mengendap, turun ke bawah, merayap, menetap, deposisi
Ener         | tenaga, kekuatan, semangat, vitalitas, daya
Enggan       | malas, segan, tidak berminat, reluctant, menolak
Enjut        | melompat, menggerak naik turun, loncat, lonjak, bounce
Entah        | tidak tahu, mungkin, barangkali, gatau, tidak pasti
Entak        | hentakkan, injak keras, hentak, tekan kuat, stamp
Epik         | luar biasa, dramatis, heroik, megah, grand
Episod       | bagian serial, satu kejadian, episode, babak, segmen
Esok         | hari berikutnya, besok, masa depan, hari esok, morrow
Etal         | etalase, pamer barang, toko, display, gerai
Etap         | tahapan, tahap perjalanan, sesi, segmen, checkpoint
Etos         | semangat kerja, karakter kerja, dedikasi, prinsip kerja, work ethic
Euforia      | kegembiraan meluap, ekstase, gembira berlebih, sukacita luar biasa, haru biru
Evakuasi     | pemindahan darurat, pengungsian, relokasi, evak, pemindahan
Ekologi      | ilmu lingkungan, ekosistem, alam, biologi lingkungan, lingkungan hidup
Ekonomi      | perekonomian, ilmu ekonomi, keuangan, bisnis, finansial
Eksistensi   | keberadaan, ada, eksistensial, kehidupan, kehadiran
Eksplisit    | jelas, terang-terangan, nyata, gamblang, terbuka
Eksperimen   | percobaan, uji coba, penelitian, tes, trial
Eksklusif    | khusus, terbatas, premium, privat, terpilih
Ekspansi     | perluasan, pelebaran, pembukaan baru, grow, pengembangan
Elaborasi    | pengembangan, penjelasan rinci, detail lebih lanjut, uraian, penambahan
Elastis      | lentur, fleksibel, mudah meregang, karet, bisa meluas
Elok         | cantik, indah, menawan, rupawan, mempesona
Embun        | titik air, uap air pagi, kabut tipis, dew, genangan halus
Empang       | kolam ikan, tambak, kolam budidaya, pond, danau kecil
Faedah       | manfaat, kegunaan, guna, benefit, kebaikan
Fahami       | mengerti, paham, cerna, tangkap makna, memahami
Fakir        | miskin, papa, tidak berpunya, dhuafa, sengsara
Falsafah     | filsafat, pandangan hidup, ideologi, kebijaksanaan, philosophy
Fana         | tidak kekal, sementara, binasa, berakhir, fana belaka
Fantasi      | khayalan, imajinasi, ilusi, mimpi, angan-angan
Fasih        | lancar, mahir, fluent, pandai bicara, tidak terbata-bata
Fatwah       | keputusan keagamaan, hukum Islam, pendapat ulama, ruling, fatwa
Fikih        | hukum Islam, syariah, ilmu tata cara ibadah, jurisprudensi, fiqih
Fikir        | berpikir, pertimbangkan, renungkan, pikirkan, olah
Filantropi   | amal sosial, dermawan, charity, kemanusiaan, donasi
Fisik        | jasmani, badan, tubuh, materi, material
Fitrah       | sifat bawaan, kesucian, naluri, instinct, bawaan lahir
Fleksibel    | luwes, lentur, elastis, adaptable, mudah menyesuaikan
Flora        | tanaman, tumbuhan, vegetasi, alam tumbuhan, botani
Folio        | kertas besar, ukuran besar, halaman, lembar, buku besar
Formal       | resmi, ofisial, baku, tidak santai, tertib
Fosil        | peninggalan purba, batu fosil, sisa organisme, artefak, relic
Fragmentasi  | pemecahan, pecahan, pembagian, bagian kecil, disintegrasi
Frasa        | kelompok kata, ungkapan, phrase, gabungan kata, satuan bahasa
Fraud        | penipuan, kecurangan, manipulasi, tipu daya, scam
Frontal      | langsung, to the point, tanpa basa-basi, lugas, blak-blakan
Frustrasi    | kecewa, putus asa, jengkel, marah dalam, stress
Fundamental  | mendasar, pokok, utama, prinsipil, esensial
Fungsi       | kegunaan, peran, manfaat, tugas, fungsi utama
Fungsional   | berdaya guna, berguna, efektif, useful, berfungsi
Furnitur     | perabot, peralatan rumah, mebel, furniture, perlengkapan
Fusi         | penggabungan, peleburan, penyatuan, merger, amalgamasi
Gabungan     | kombinasi, kolaborasi, gabungan, campuran, paduan
Gairah       | semangat, antusias, hasrat, passion, api semangat
Galeri       | ruang pamer, museum mini, exhibition, pameran, art space
Gambaran     | deskripsi, lukisan, ilustrasi, penjelasan, gambaran umum
Ganas        | buas, beringas, liar, kejam, tidak terkendali
Ganda        | dobel, dua kali lipat, berlipat, double, duplex
Ganjil       | aneh, janggal, tidak biasa, odd, tidak genap
Garang       | galak, buas, seram, menakutkan, beringas
Garuda       | rajawali, elang besar, burung nasional, bird of paradise, lambang Indonesia
Gelap        | pekat, tidak bercahaya, kelam, murung, malam
Gelombang    | ombak, riak, guncangan, wave, getaran air
Gempa        | lindu, goncangan, earthquake, gempa bumi, pergeseran lempeng
Generasi     | angkatan, turunan, keturunan, kurun waktu lahir, kalangan sebaya
Gerak        | langkah, perpindahan, bergerak, gerakan, movement
Gigih        | ulet, tekun, tidak menyerah, pantang mundur, keras hati
Global       | mendunia, international, universal, world-wide, menyeluruh
Gotong       | kerja bersama, bakti sosial, gotong royong, saling membantu, kerjasama
Gratis       | cuma-cuma, tidak dipungut biaya, bebas biaya, free, percuma
Gading       | taring gajah, ivory, gigi besar, bahan keras alami, putih gading
Gagap        | cadel, terbata-bata, tidak lancar, stutter, susah bicara
Galah        | tongkat panjang, batang, tiang, long stick, batang bambu
Galang       | himpun, kumpulkan, ajak, mobilisasi, kerahkan
Gamang       | cemas, ragu, takut, gugup, tidak berani
Gampang      | mudah, tidak sulit, simple, gampang, ringan
Gangguan     | hambatan, rintangan, distorsi, masalah, interferensi
Ganggang     | alga, tumbuhan air, rumput laut, lumut air, algae
Ganjaran     | hadiah, hukuman, balasan, reward, sanksi
Garap        | kerjakan, olah, usahakan, tangani, proses
Garis        | coretan, batas, limit, coretan panjang, line
Gaul         | bergaul, sosial, modern, trendi, up-to-date
Gegas        | tergesa, segera, cepat, lekas, terburu
Gelak        | tawa, gelak tawa, tertawa, cekikikan, senyum lebar
Gelagat      | pertanda, gejala, tanda, indikasi, petunjuk
Gelar        | jabatan, titel, nama kehormatan, pangkat, posisi
Geliat       | bergeliat, menggerakkan badan, menggeliat, pemanasan, fleksibilitas
Gemilang     | bersinar, cemerlang, sukses, berhasil, terang
Gendut       | gemuk, tambun, montok, chubby, berlemak
Genting      | krisis, gawat, kritis, darurat, mendesak
Gertak       | ancam, intimidasi, gertakan, nakut-nakuti, teror
Giat         | rajin, tekun, penuh semangat, aktif, berdedikasi
Girang       | gembira, suka cita, riang, ceria, bahagia
Godaan       | rayuan, iming-iming, cobaan, tantangan, tawaran
Golong       | kelompokkan, golongkan, masukkan, kategorikan, klasifikasikan
Goreng       | masak, tumis, tiriskan, olah makanan, masak dengan minyak
Gotong royong| kerja sama, kerja bakti, kerjasama sosial, tolong-menolong, saling membantu
Grogi        | gugup, nervous, tidak percaya diri, demam panggung, salting
Gulat        | bergulat, berseteru fisik, fighting, wrestling, perkelahian
Guling       | gelinding, berputar, roll, bergulir, berguling
Guna         | manfaat, faedah, kegunaan, benefit, peran
Gunung       | puncak, bukit besar, pegunungan, elevasi tinggi, tanjung
Gurih        | sedap, enak, lezat, nikmat, yummy
Guru         | pengajar, pendidik, ustaz, instruktur, pembimbing
Gusar        | marah, kesal, jengkel, tidak suka, tersinggung
Guyub        | rukun, kompak, akur, bersatu, harmonis
Guyur        | siram, tabur air, curah, guyurkan, tuangkan
Hadap        | menghadap, tatap, posisi ke arah, face, berhadapan
Hadir        | datang, tiba, muncul, ada di sini, menghadiri
Hafal        | ingat di luar kepala, memorize, tahu betul, hapal, bisa hafal
Halal        | boleh, sah, tidak terlarang, legal (dalam syariah), mubah
Halus        | lembut, tidak kasar, sopan, halus suara, gentle
Harapan      | impian, keinginan, cita-cita, ekspektasi, asa
Harga        | nilai tukar, banderol, biaya, tarif, price
Hari         | tanggal, satu waktu, kesempatan, day, waktu 24 jam
Harmonisasi  | penyelarasan, sinkronisasi, keserasian, harmoni, rekonsiliasi
Hebat        | luar biasa, keren, mengagumkan, fantastic, spektakuler
Hemat        | irit, tidak boros, bijak keuangan, frugal, cermat
Hidup        | bernafas, eksis, menjalani, survive, hidup terus
Hikayat      | cerita lama, kisah zaman dahulu, teks Melayu lama, epos, narasi klasik
Hikmah       | pelajaran, kebijaksanaan, nilai, wisdom, makna dalam
Hindari      | jauhi, elak, hindari, cegah, menyingkir
Hormat       | segan, kagum, sopan, respect, menghormati
Hubungan     | kaitan, relasi, koneksi, keterkaitan, link
Hukum        | aturan, regulasi, peraturan, ketentuan, undang-undang
Hutan        | rimba, belantara, hutan rimba, jungle, pohon lebat
Ibu          | mama, bunda, emak, mak, orang tua perempuan
Ikhlas       | tulus, rela, legawa, tanpa pamrih, sincere
Ilmu         | pengetahuan, sains, keilmuan, wawasan, knowledge
Iman         | keyakinan, kepercayaan, akidah, faith, keteguhan hati
Impian       | cita-cita, harapan, angan-angan, dream, keinginan
Ingin        | berhasrat, menghendaki, mau, berkeinginan, mendamba
Inspirasi    | dorongan, motivasi, ide, spark, stimulasi
Irama        | ritme, tempo, ketukan, beat, pola bunyi
Istimewa     | spesial, luar biasa, spesifik, eksklusif, premium
Izin         | ijin, persetujuan, lisensi, pengesahan, perkenan
Jaga         | pantau, awasi, lindungi, berjaga, kawal
Jalur        | lintasan, jalan, rute, track, lorong
Jelas        | terang, gamblang, transparan, pasti, tidak ambigu
Jiwa         | roh, semangat, nyawa, spirit, nafas hidup
Juang        | berjuang, berusaha keras, perjuangkan, campakan, hadapi
Kagum        | terkesan, takjub, heran, terpesona, salut
Karya        | hasil kerja, produksi, ciptaan, kreasi, output
Kebaikan     | kebajikan, keluhuran, keutamaan, amal, virtus
Kemenangan   | kejayaan, keberhasilan, kemenangan, sukses, triumph
Kepercayaan  | keyakinan, amanah, trust, iman, rasa percaya
Kerjasama    | kolaborasi, kerja tim, sinergi, kemitraan, cooperative
Kesabaran    | ketabahan, ketenangan, panjang sabar, stoikisme, tidak terburu
Kreasi       | ciptaan, karangan, inovasi, produksi, creation
Kuasa        | kekuasaan, wewenang, otoritas, power, authority
Ibadah       | ritual, sembahyang, devosi, pengabdian kepada Tuhan, doa
Ikhtisar     | ringkasan, rangkuman, summary, sinopsis, intisari
Ikhtiar      | usaha, upaya, daya, langkah, inisiatif
Iklim        | cuaca, suhu rata-rata, kondisi atmosfer, hawa, temperatur
Imajinatif   | kreatif, berimajinasi tinggi, inovatif, berdaya cipta, penuh ide
Implikasi    | dampak, akibat, konsekuensi, efek, pengaruh
Individu     | pribadi, orang, perorangan, diri, seseorang
Industri     | pabrik, manufaktur, sektor usaha, enterprise, produksi
Infrastruktur| fasilitas dasar, sarana prasarana, utilitas, support system, foundation
Inisiatif    | prakarsa, kemauan, tindak pertama, proaktif, langkah awal
Inovasi      | pembaruan, penemuan, kreasi baru, modernisasi, invention
Instansi     | lembaga, badan, kantor, unit pemerintah, dinas
Integritas   | kejujuran, konsistensi, kehormatan, moral, kepercayaan diri
Interaksi    | hubungan timbal balik, komunikasi, relasi, pertukaran, dialog
Internasional| global, antarbangsa, lintas negara, dunia, multinasional
Interpretasi | penafsiran, pemahaman, tafsir, analisis, makna
Investasi    | penanaman modal, pengelolaan dana, modal usaha, invest, financial planning
Ironi        | kontras, kebalikan, paradoks, hal yang bertentangan, sinis
Irigasi      | pengairan, sistem air, saluran irigasi, water supply, sistem pengairan
Isyarat      | tanda, sinyal, kode, petunjuk, petanda
Jalanan      | jalan raya, jalan kaki, jalan beraspal, rute, lorong
Jaminan      | garansi, agunan, jaminan, tanggungan, collateral
Jarak        | rentang, jeda, space, ruang antar, panjang
Jasa         | pelayanan, kontribusi, service, manfaat, bakti
Jawab        | respons, balas, tanggapi, menjawab, reaksi
Jejak        | bekas, tanda, rekam jejak, track, tapak
Jenderal     | panglima, petinggi militer, komandan, marsekal, pangkat tinggi
Jenis        | macam, ragam, tipe, golongan, kategori
Jujur        | jujur, berkata benar, transparan, tulus hati, sincere
Julukan      | nama panggilan, sebutan, gelar, nama samaran, alias
Kalimat      | ujaran, klausa, pernyataan, sentence, ekspresi bahasa
Karakter     | watak, sifat, kepribadian, tabiat, ciri khas
Kebijakan    | regulasi, ketetapan, peraturan, keputusan, policy
Keberhasilan | sukses, pencapaian, kemenangan, prestasi, achievement
Kebudayaan   | peradaban, culture, budaya, warisan, tradisi
Kehormatan   | harga diri, martabat, prestise, wibawa, nama baik
Keteladanan  | contoh, panutan, teladan, model, acuan moral
Kreativitas  | daya cipta, inovasi, kreasi, keunikan, talenta
Kritis       | analitis, tajam, cermat, tegas, kritis
Kualitas     | mutu, standar, grade, bobot, kualitas
Jabat        | salam, bersalaman, jabat tangan, jabatan, genggam
Jagoan       | juara, pahlawan, champion, yang terdepan, terbaik
Jahat        | buruk, tidak bermoral, jahat, durjana, kejam
Jalan        | rute, cara, jalan raya, metodologi, akses
Jangkauan    | batas, reach, kemampuan menjangkau, kapasitas, jarak capai
Janji        | komitmen, kata-kata, perjanjian, ikrar, kesanggupan
Jawara       | juara, pemenang, champion, terbaik, jagoan
Jejaring     | jaringan, koneksi, network, sistem kaitan, relasi
Jimat        | ajimat, benda keberuntungan, talisman, amulet, jimat pelindung
Jinakkan     | jinak, tunduk, domestikasi, taklukkan, domasikasikan
Jogetan      | tarian, gerakan tubuh, dance, dansa, menari
Jujukan      | urutan, rangkaian, sequence, list, susunan
Jumlah       | total, banyaknya, sum, angka, kuantitas
Juntrung     | arah, tujuan, jurusan, ke mana, haluan
Jurnalis     | wartawan, reporter, penulis berita, editor, media person
Kabut        | berkabut, awan tipis, asap tipis, haze, uap tebal
Kaji         | teliti, analisis, studi, pelajari, riset
Kalangan     | golongan, kelompok, lapisan, komunitas, circle
Kampung      | desa, perkampungan, dusun, kelurahan, wilayah kecil
Karunia      | anugerah, berkat, rahmat, hadiah, nikmat
Kasih        | cinta, sayang, afeksi, perasaan kasih, love
Kawan        | teman, sahabat, kawan dekat, partner, kolega
Kebenaran    | fakta, kenyataan, realitas, truth, kebenaran sejati
Kebersamaan  | solidaritas, kompak, bersama, kolektif, unity
Kehidupan    | hidup, eksistensi, menjalani hari, aktivitas, kehidupan sehari-hari
Kejujuran    | integritas, transparansi, ketulusan, honesty, kepercayaan
Kekuatan     | daya, tenaga, power, kapasitas, kemampuan
Kemerdekaan  | kebebasan, independensi, otonomi, merdeka, liberation
Kemampuan    | kapasitas, kompetensi, skill, bakat, kebisaan
Kemandirian  | independensi, otonomi, kebebasan, berdiri sendiri, self-reliance
Komunitas    | masyarakat, kelompok, komunal, lingkungan sosial, group
Koreksi      | perbaikan, revisi, betulkan, editing, penyempurnaan
Krisis       | gawat darurat, situasi kritis, bahaya, emergency, kegentingan
Kabar        | berita, informasi, warta, laporan, update
Kadang       | sesekali, terkadang, sewaktu-waktu, sometimes, tidak selalu
Kaget        | terkejut, shock, terperanjat, kerepotan, tercengang
Kalah        | menyerah, tumbang, dikalahkan, mundur, lose
Kamar        | ruangan, bilik, kamar tidur, ruang istirahat, chamber
Kampanye     | sosialisasi, promosi, advokasi, kampanye politik, propaganda
Keahlian     | skill, kompetensi, kecakapan, kemahiran, ketrampilan
Keadilan     | fair, kesetaraan, persamaan hak, equity, justice
Kebahagiaan  | suka cita, kegembiraan, sukacita, happiness, ketenteraman
Kebebasan    | kemerdekaan, otonomi, independen, leluasa, liberty
Keberanian   | keberanian, nekad, keberanian sejati, keteguhan, pemberani
Kedamaian    | ketenangan, tenteram, harmoni, peace, ketentraman
Keindahan    | estetika, kecantikan, keelokkan, beauty, daya tarik visual
Keinginan    | hasrat, nafsu, ambisi, desire, angan-angan
Kejadian     | peristiwa, event, insiden, perkara, situasi
Keluarga     | rumah tangga, kerabat, saudara, keluarga inti, family
Kemanfaatan  | manfaat, faedah, utility, kegunaan, keuntungan
Kenangan     | memori, ingatan, pengalaman lalu, nostalgia, catatan hati
Kesehatan    | sehat, kebugaran, kondisi prima, wellness, kesegaran
