         Format: Kata | Kelas Kata | Arti / Definisi
Bela         | Verba      | Membela; melindungi dari serangan atau tuduhan
Belah        | Verba      | Memisahkan menjadi dua bagian dengan cara dipotong
Beli         | Verba      | Mendapatkan barang dengan membayar uang
Benih        | Nomina     | Biji tanaman yang siap ditanam; asal usul sesuatu
Bentuk       | Nomina     | Rupa; wujud; format suatu benda atau kegiatan
Berani       | Adjektiva  | Tidak takut menghadapi bahaya atau tantangan
Beri         | Verba      | Menyerahkan sesuatu kepada orang lain
Bersih       | Adjektiva  | Tidak kotor; tidak ternoda; suci
Bijak        | Adjektiva  | Pandai; arif; mampu mengambil keputusan yang tepat
Biru         | Adjektiva  | Warna langit dan laut yang cerah
Bisa         | Verba      | Mampu; dapat melakukan sesuatu
Bocah        | Nomina     | Anak kecil; kanak-kanak
Bodoh        | Adjektiva  | Tidak pintar; sulit memahami sesuatu
Bola         | Nomina     | Benda bulat yang digunakan dalam berbagai permainan
Boros        | Adjektiva  | Suka menghabiskan sesuatu secara berlebihan
Bubur        | Nomina     | Makanan lunak dari beras yang dimasak dengan banyak air
Buku         | Nomina     | Kumpulan halaman berisi tulisan yang dijilid
Bumi         | Nomina     | Planet tempat manusia tinggal; tanah; dunia
Bunga        | Nomina     | Bagian tanaman yang indah berwarna-warni; imbal hasil uang
Buntu        | Adjektiva  | Tidak ada jalan keluar; tersumbat
Buru         | Verba      | Mengejar dengan cepat untuk menangkap
Busuk        | Adjektiva  | Telah membusuk; berbau tidak sedap karena rusak
Buta         | Adjektiva  | Tidak dapat melihat; tidak tahu sama sekali
Cahaya       | Nomina     | Sinar terang yang memungkinkan kita melihat
Cakap        | Adjektiva  | Pandai; terampil dalam melakukan sesuatu
Cepat        | Adjektiva  | Dalam waktu singkat; tidak lambat
Cerita       | Nomina     | Kisah atau narasi tentang suatu peristiwa
Cinta        | Nomina     | Rasa kasih sayang yang mendalam
Coblos       | Verba      | Menusuk; melubangi; memberikan suara dalam pemilu
Cabut        | Verba      | Mengambil sesuatu yang tertancap dengan menariknya keluar
Cakram       | Nomina     | Benda berbentuk lingkaran pipih; piringan
Campur       | Verba      | Menyatukan dua bahan atau lebih menjadi satu
Cantik       | Adjektiva  | Indah dipandang; menarik secara penampilan
Cari         | Verba      | Berupaya menemukan sesuatu yang diinginkan
Catat        | Verba      | Menulis untuk menyimpan informasi agar tidak terlupa
Cegah        | Verba      | Menghalangi agar sesuatu tidak terjadi
Celah        | Nomina     | Ruang sempit di antara dua benda; kesempatan kecil
Cemas        | Adjektiva  | Merasa khawatir dan tidak tenang
Cerah        | Adjektiva  | Terang benderang; tidak mendung; bersinar
Cermat       | Adjektiva  | Teliti; hati-hati; tidak sembrono
Cermin       | Nomina     | Kaca yang dapat memantulkan bayangan
Cicil        | Verba      | Membayar sedikit demi sedikit dalam beberapa kali angsuran
Cipta        | Verba      | Menciptakan; membuat sesuatu yang baru
Cocok        | Adjektiva  | Sesuai; pas; tepat untuk keperluan tertentu
Coret        | Verba      | Membuat garis pada permukaan; menghapus dengan garis
Cuci         | Verba      | Membersihkan sesuatu dengan air dan sabun
Cukup        | Adjektiva  | Memenuhi kebutuhan; tidak kurang dan tidak lebih
Culas        | Adjektiva  | Curang; tidak jujur; penuh tipu daya
Cuma         | Adverbia   | Hanya; saja; tidak lebih dari itu
Curiga       | Verba      | Menaruh sangkaan buruk terhadap seseorang
Dadah        | Nomina     | Narkotika; obat-obatan terlarang yang berbahaya
Daftar       | Nomina     | Catatan berurutan tentang sesuatu
Dahulu       | Adverbia   | Waktu yang telah lewat; sebelum sekarang
Dalam        | Preposisi  | Di bagian interior; ke arah yang tidak di permukaan
Damai        | Adjektiva  | Tidak ada perselisihan; tenteram; aman sentosa
Dana         | Nomina     | Uang yang disediakan untuk keperluan tertentu
Dapat        | Verba      | Berhasil memperoleh sesuatu; mampu melakukan
Dapur        | Nomina     | Ruangan untuk memasak makanan
Darah        | Nomina     | Cairan merah dalam tubuh yang mengalir di pembuluh darah
Dasar        | Nomina     | Bagian paling bawah; landasan; prinsip pokok
Datang       | Verba      | Tiba di suatu tempat; hadir
Dedikasi     | Nomina     | Pengabdian yang tulus dan sepenuh hati
Dengar       | Verba      | Menerima suara melalui indra pendengaran
Dekat        | Adjektiva  | Tidak jauh; berjarak sedikit
Desa         | Nomina     | Pemukiman kecil di luar kota; kampung
Diam         | Adjektiva  | Tidak bersuara; tidak bergerak; tenang
Didik        | Verba      | Membimbing dan mengajar agar berkembang baik
Diri         | Nomina     | Sosok manusia itu sendiri; jati diri
Dorong       | Verba      | Mendorong; menggerakkan ke depan dengan tenaga
Duduk        | Verba      | Berada dalam posisi bertumpu pada pantat
Duka         | Nomina     | Kesedihan; perasaan pilu karena kehilangan
Dulu         | Adverbia   | Sebelum ini; pada masa lampau
Dusta        | Nomina     | Kebohongan; ucapan yang tidak sesuai kenyataan
Empat        | Numeralia  | Bilangan yang nilainya empat (4)
Enak         | Adjektiva  | Terasa lezat; nyaman; menyenangkan
Dagang       | Verba      | Melakukan jual beli untuk memperoleh keuntungan
Daging       | Nomina     | Bagian tubuh hewan yang biasa dimakan
Daki         | Verba      | Memanjat ke tempat yang lebih tinggi
Dalih        | Nomina     | Alasan yang dibuat-buat; pembenaran yang tidak jujur
Damba        | Verba      | Sangat mendambakan; merindukan dengan sungguh-sungguh
Dangkal      | Adjektiva  | Tidak dalam; kurang mendalam pengetahuannya
Daulat       | Nomina     | Kekuasaan tertinggi; kedaulatan suatu negara
Dawai        | Nomina     | Kawat tipis pada alat musik petik seperti gitar
Debat        | Nomina     | Perdebatan; diskusi formal yang mempermasalahkan pendapat
Debu         | Nomina     | Partikel kecil kotoran di udara atau permukaan benda
Delap        | Nomina     | Jenis kue atau makanan tradisional
Dendang      | Verba      | Menyanyikan lagu pelan-pelan; bersenandung
Dendam       | Nomina     | Keinginan membalas sakit hati; kebencian mendalam
Depot        | Nomina     | Tempat penyimpanan barang; warung makan
Deras        | Adjektiva  | Mengalir dengan cepat dan kuat
Deretan      | Nomina     | Susunan sejajar; barisan benda-benda
Dermaga      | Nomina     | Tempat kapal merapat dan berlabuh di tepi laut
Desak        | Verba      | Mendesak; memaksa agar segera dilakukan
Dewan        | Nomina     | Badan atau lembaga resmi yang bertugas mengurus suatu hal
Dewasa       | Adjektiva  | Sudah matang; sudah cukup umur; tidak kekanak-kanakan
Doa          | Nomina     | Permohonan kepada Tuhan; harapan yang diucapkan
Dobrak       | Verba      | Mendobrak; membuka paksa dengan tenaga besar
Dompet       | Nomina     | Tempat kecil untuk menyimpan uang dan kartu
Dongeng      | Nomina     | Cerita khayal yang tidak nyata; cerita rakyat
Dorongan     | Nomina     | Kekuatan yang menggerakkan seseorang untuk bertindak
Dosa         | Nomina     | Perbuatan yang melanggar aturan agama atau moral
Dukung       | Verba      | Mendukung; memberikan bantuan dan semangat
Dungu        | Adjektiva  | Sangat bodoh; tidak dapat berpikir
Dunia        | Nomina     | Bumi beserta segala isinya; alam semesta tempat manusia hidup
Durasi       | Nomina     | Jangka waktu berlangsungnya sesuatu
Duri         | Nomina     | Bagian tajam yang menonjol pada tumbuhan atau hewan
Duta         | Nomina     | Wakil resmi suatu negara di negara lain
Energi       | Nomina     | Kemampuan untuk melakukan kerja atau usaha
Fajar        | Nomina     | Cahaya merah di langit saat matahari akan terbit
Fakta        | Nomina     | Hal yang nyata; kejadian yang benar-benar terjadi
Fasilitas    | Nomina     | Sarana dan prasarana yang memudahkan suatu kegiatan
Figur        | Nomina     | Tokoh; sosok orang yang menjadi panutan
Fokus        | Verba      | Memusatkan perhatian pada satu hal tertentu
Forum        | Nomina     | Wadah pertemuan atau diskusi untuk bertukar pikiran
Fungsi       | Nomina     | Kegunaan; peran yang dimainkan suatu benda atau orang
Gabung       | Verba      | Bergabung; menyatukan diri dengan kelompok lain
Gagal        | Verba      | Tidak berhasil mencapai tujuan
Gagah        | Adjektiva  | Tampan dan kuat; berwibawa; perkasa
Gagasan      | Nomina     | Ide; pikiran yang muncul dalam benak seseorang
Galak        | Adjektiva  | Mudah marah; ganas; suka menyerang
Edar         | Verba      | Beredar; berputar; berpindah dari satu ke lain tangan
Ejek         | Verba      | Menghina dengan kata-kata atau tingkah laku mengolok-olok
Ekor         | Nomina     | Bagian belakang tubuh hewan; hal yang mengikuti di belakang
Elas         | Nomina     | Sifat mulur dan kembali; kemampuan memanjang lalu kembali
Emosi        | Nomina     | Perasaan kuat seperti senang, sedih, marah, atau takut
Empuk        | Adjektiva  | Lunak; mudah ditekan; terasa nyaman saat disentuh
Enak         | Adjektiva  | Terasa lezat; nyaman; menyenangkan
Encek        | Nomina     | Sebutan hormat untuk pria Tionghoa yang lebih tua
Era          | Nomina     | Kurun waktu tertentu; zaman dengan ciri khasnya
Erang        | Verba      | Mengeluarkan suara pelan karena kesakitan atau berat
Erat         | Adjektiva  | Sangat kuat ikatannya; akrab; tidak mudah terlepas
Esai         | Nomina     | Tulisan pendek yang mengungkapkan gagasan atau pendapat
Estafet      | Nomina     | Perlombaan yang dilakukan secara bergantian dalam tim
Etika        | Nomina     | Ilmu tentang nilai moral dan tingkah laku yang baik
Etnis        | Nomina     | Kelompok manusia berdasarkan kesamaan budaya dan asal usul
Evaluasi     | Nomina     | Penilaian terhadap proses atau hasil suatu kegiatan
Evolusi      | Nomina     | Perkembangan bertahap dan lambat dari sederhana ke kompleks
Ekspresi     | Nomina     | Ungkapan perasaan atau pikiran melalui kata, wajah, atau karya
Ekspor       | Verba      | Mengirimkan barang ke luar negeri untuk dijual
Elemen       | Nomina     | Unsur dasar pembentuk sesuatu; bagian penting
Emas         | Nomina     | Logam mulia berwarna kuning berkilau bernilai tinggi
Empati       | Nomina     | Kemampuan memahami dan merasakan perasaan orang lain
Empiris      | Adjektiva  | Berdasarkan pengalaman nyata dan fakta yang teramati
Endap        | Verba      | Mengendap; turun ke dasar; merayap dengan hati-hati
Ener         | Nomina     | Tenaga; kekuatan yang dimiliki seseorang
Enggan       | Adjektiva  | Tidak mau; malas; kurang berselera melakukan sesuatu
Enjut        | Verba      | Melompat; bergerak naik turun
Entah        | Partikel   | Kata yang menyatakan ketidaktahuan atau ketidakpastian
Entak        | Verba      | Menghentakkan kaki ke tanah dengan keras
Epik         | Adjektiva  | Berkaitan dengan karya sastra besar; luar biasa hebat
Episod       | Nomina     | Bagian dari serial; satu kejadian dalam rangkaian cerita
Esok         | Nomina     | Hari berikutnya; masa yang akan datang
Etal         | Nomina     | Tempat memajang barang dagangan; etalase
Etap         | Nomina     | Tahapan perjalanan; titik istirahat dalam perjalanan panjang
Etos         | Nomina     | Etos kerja; semangat dan karakter dalam bekerja
Euforia      | Nomina     | Perasaan gembira yang sangat kuat dan meluap-luap
Evakuasi     | Nomina     | Pemindahan orang dari daerah berbahaya ke tempat aman
Ekologi      | Nomina     | Ilmu yang mempelajari hubungan makhluk hidup dan lingkungan
Ekonomi      | Nomina     | Ilmu tentang produksi, distribusi, dan konsumsi barang
Eksistensi   | Nomina     | Keberadaan; kenyataan bahwa sesuatu itu ada
Eksplisit    | Adjektiva  | Terang-terangan; jelas dan tidak perlu ditafsirkan lagi
Eksperimen   | Nomina     | Percobaan ilmiah untuk membuktikan suatu hipotesis
Eksklusif    | Adjektiva  | Khusus; hanya untuk kalangan tertentu saja
Ekspansi     | Nomina     | Perluasan wilayah atau usaha ke daerah baru
Elaborasi    | Nomina     | Pengembangan lebih lanjut dari suatu ide atau rencana
Elastis      | Adjektiva  | Dapat merenggang dan kembali ke bentuk semula
Elok         | Adjektiva  | Cantik; indah; menarik dipandang
Embun        | Nomina     | Titik-titik air yang terbentuk di permukaan benda saat malam
Empang       | Nomina     | Kolam ikan kecil buatan manusia
Faedah       | Nomina     | Manfaat; kegunaan; guna yang didapat dari sesuatu
Fahami       | Verba      | Memahami; mengerti dengan baik makna sesuatu
Fajar        | Nomina     | Cahaya kemerahan di timur saat matahari akan terbit
Fakir        | Nomina     | Orang yang sangat miskin; orang yang tidak memiliki harta
Falsafah     | Nomina     | Pandangan hidup; filsafat; kebijaksanaan yang mendalam
Fana         | Adjektiva  | Tidak kekal; bersifat sementara; akan berakhir
Fantasi      | Nomina     | Khayalan; bayangan pikiran yang tidak nyata
Fasih        | Adjektiva  | Lancar dan jelas dalam berbicara; mahir
Fatwah       | Nomina     | Keputusan hukum Islam dari ulama; pendapat keagamaan resmi
Fikih        | Nomina     | Ilmu tentang hukum Islam; ilmu tata cara beribadah
Fikir        | Verba      | Berpikir; menggunakan akal untuk mempertimbangkan
Filantropi   | Nomina     | Kegiatan amal untuk kesejahteraan umat manusia
Fisik        | Nomina     | Berkaitan dengan tubuh dan materi; bukan rohani
Fitrah       | Nomina     | Sifat bawaan manusia sejak lahir; kesucian alami
Fleksibel    | Adjektiva  | Mudah menyesuaikan diri; tidak kaku; lentur
Flora        | Nomina     | Semua jenis tumbuhan dalam suatu wilayah atau zaman
Folio        | Nomina     | Ukuran kertas besar; buku berukuran besar
Formal       | Adjektiva  | Resmi; sesuai aturan; tidak santai
Fosil        | Nomina     | Sisa makhluk hidup purba yang mengeras dalam batuan
Fragmentasi  | Nomina     | Proses pecah menjadi bagian-bagian kecil
Frasa        | Nomina     | Gabungan dua kata atau lebih yang membentuk satu makna
Fraud        | Nomina     | Kecurangan; penipuan yang disengaja
Frontal      | Adjektiva  | Langsung berhadapan; tanpa basa-basi; terus terang
Frustrasi    | Nomina     | Perasaan kecewa karena keinginan tidak terpenuhi
Fundamental  | Adjektiva  | Mendasar; paling penting dan pokok
Fungsi       | Nomina     | Kegunaan; peran yang dimainkan suatu hal
Fungsional   | Adjektiva  | Berdaya guna; berfungsi dengan baik
Furnitur     | Nomina     | Perabot rumah tangga seperti meja, kursi, dan lemari
Fusi         | Nomina     | Penggabungan dua hal menjadi satu; peleburan
Gabungan     | Nomina     | Hasil penggabungan dua atau lebih unsur
Gairah       | Nomina     | Semangat yang kuat; antusias terhadap sesuatu
Galeri       | Nomina     | Ruangan atau gedung untuk memamerkan karya seni
Gambaran     | Nomina     | Lukisan; deskripsi atau penjelasan tentang sesuatu
Ganas        | Adjektiva  | Sangat berbahaya; kejam; tidak terkendali
Ganda        | Adjektiva  | Berlipat dua; dua kali lipat
Ganjil       | Adjektiva  | Aneh; tidak genap; tidak biasa
Garang       | Adjektiva  | Sangat galak dan menyeramkan
Garuda       | Nomina     | Burung mitologi lambang negara Indonesia
Gelap        | Adjektiva  | Tidak ada cahaya; tidak terang
Gelombang    | Nomina     | Gerakan naik turun pada air atau udara
Gempa        | Nomina     | Getaran bumi karena pergerakan lempeng tektonik
Generasi     | Nomina     | Kelompok orang yang lahir dan hidup dalam kurun waktu sama
Gerak        | Verba      | Berpindah tempat atau berubah posisi
Gigih        | Adjektiva  | Tekun dan tidak mudah menyerah dalam usaha
Global       | Adjektiva  | Menyeluruh; bersifat dunia; mencakup semua
Gotong       | Verba      | Bekerja bersama-sama untuk kepentingan bersama
Gratis       | Adjektiva  | Tidak dipungut bayaran; bebas biaya
Gading       | Nomina     | Bahan keras dari taring gajah yang bernilai tinggi
Gagap        | Adjektiva  | Tidak lancar dalam berbicara; terbata-bata
Gairah       | Nomina     | Semangat yang membara; hasrat kuat terhadap sesuatu
Galah        | Nomina     | Tongkat panjang yang digunakan untuk berbagai keperluan
Galak        | Adjektiva  | Mudah marah; suka menyerang; buas
Galang       | Verba      | Mengumpulkan dana atau dukungan untuk suatu tujuan
Galeri       | Nomina     | Tempat pameran karya seni atau koleksi benda
Gamang       | Adjektiva  | Takut dan ragu-ragu; tidak berani; cemas
Gampang      | Adjektiva  | Mudah; tidak sulit untuk dilakukan
Gangguan     | Nomina     | Hal yang mengganggu; hambatan; rintangan
Ganggang     | Nomina     | Tumbuhan air bersel satu atau bersel banyak tanpa akar
Ganjaran     | Nomina     | Hadiah atau hukuman atas suatu perbuatan
Garap        | Verba      | Mengerjakan; mengolah; mengusahakan sesuatu
Garis        | Nomina     | Coretan panjang; batas; peraturan
Gaul         | Adjektiva  | Suka bergaul; mengikuti tren; modern dan trendi
Gegas        | Adverbia   | Dengan cepat; segera; tanpa menunda
Gelak        | Nomina     | Tawa yang keras dan riang
Gelagat      | Nomina     | Tanda-tanda; gejala yang menunjukkan sesuatu akan terjadi
Gelar        | Nomina     | Sebutan kehormatan; nama jabatan atau prestasi
Geliat       | Verba      | Menggeliat; menggerakkan badan karena pegal atau malas
Gemilang     | Adjektiva  | Bersinar terang; sangat sukses; berhasil gemilang
Gendut       | Adjektiva  | Bertubuh besar dan bulat karena banyak lemak
Genting      | Nomina     | Penutup atap rumah dari tanah liat; keadaan kritis
Gertak       | Verba      | Mengancam dengan kata-kata keras untuk menakut-nakuti
Giat         | Adjektiva  | Rajin; tekun; penuh semangat dalam bekerja
Girang       | Adjektiva  | Sangat gembira; riang gembira
Godaan       | Nomina     | Sesuatu yang menggiurkan untuk berbuat sesuatu
Golong       | Verba      | Memasukkan ke dalam kelompok tertentu
Goreng       | Verba      | Memasak bahan makanan dalam minyak panas
Gotong royong| Nomina     | Kerja bersama-sama untuk kepentingan bersama
Grogi        | Adjektiva  | Merasa gugup dan tidak percaya diri di depan umum
Gulat        | Nomina     | Olahraga atau perkelahian fisik dengan cara bergumul
Guling       | Verba      | Berputar sepanjang sumbu; menggelinding
Guna         | Nomina     | Manfaat; kegunaan sesuatu bagi kehidupan
Gunung       | Nomina     | Tanah yang menjulang sangat tinggi di permukaan bumi
Gurih        | Adjektiva  | Rasa enak seperti makanan berlemak; sedap
Guru         | Nomina     | Orang yang mengajar dan mendidik murid di sekolah
Gusar        | Adjektiva  | Marah; jengkel; merasa kesal hati
Guyub        | Adjektiva  | Rukun; harmonis; hidup bersama dengan damai dan kompak
Guyur        | Verba      | Menyiram dengan banyak air sekaligus
Hadap        | Verba      | Menghadap; membelakangi atau menghadapkan ke arah tertentu
Hadir        | Verba      | Datang; berada di tempat yang ditentukan
Hafal        | Verba      | Mengingat sesuatu di luar kepala tanpa melihat teks
Halal        | Adjektiva  | Dibolehkan; sah; tidak dilarang agama Islam
Halus        | Adjektiva  | Tidak kasar; lembut; tidak keras; sopan
Harapan      | Nomina     | Keinginan yang ingin diwujudkan; sesuatu yang dinantikan
Harga        | Nomina     | Nilai tukar suatu barang dalam bentuk uang
Hari         | Nomina     | Satuan waktu 24 jam; tanggal dalam kalender
Harmonisasi  | Nomina     | Proses menyelaraskan perbedaan menjadi satu kesatuan
Hebat        | Adjektiva  | Luar biasa; sangat bagus; mengagumkan
Hemat        | Adjektiva  | Bijak menggunakan uang; tidak boros
Hidup        | Verba      | Masih bernafas; menjalani kehidupan
Hikayat      | Nomina     | Cerita lama dalam sastra Melayu; kisah zaman dahulu
Hikmah       | Nomina     | Pelajaran berharga; kebijaksanaan dari suatu kejadian
Hindari      | Verba      | Menjauhi; berusaha tidak berhadapan dengan bahaya
Hormat       | Nomina     | Rasa kagum dan penghargaan kepada orang lain
Hubungan     | Nomina     | Keterkaitan antara dua hal atau lebih
Hukum        | Nomina     | Aturan yang wajib ditaati dalam kehidupan bermasyarakat
Hutan        | Nomina     | Daerah lebat dipenuhi pohon-pohon besar alami
Ibu          | Nomina     | Orang tua perempuan; wanita yang melahirkan
Ikhlas       | Adjektiva  | Tulus; rela memberikan tanpa mengharapkan balasan
Ilmu         | Nomina     | Pengetahuan yang diperoleh melalui belajar dan penelitian
Iman         | Nomina     | Keyakinan dan kepercayaan kepada Tuhan Yang Maha Esa
Impian       | Nomina     | Cita-cita; sesuatu yang sangat diinginkan
Ingin        | Verba      | Mempunyai keinginan; berhasrat untuk memperoleh sesuatu
Inspirasi    | Nomina     | Dorongan pikiran untuk berbuat sesuatu yang baik
Irama        | Nomina     | Pola teratur bunyi atau gerakan; ritme
Istimewa     | Adjektiva  | Berbeda dan lebih baik dari yang biasa; luar biasa
Izin         | Nomina     | Persetujuan resmi untuk melakukan sesuatu
Jaga         | Verba      | Berjaga; memantau agar tetap aman dan terkendali
Jalur        | Nomina     | Jalan; lintasan; bidang memanjang untuk dilalui
Jelas        | Adjektiva  | Mudah dimengerti; tidak samar; terang benderang
Jiwa         | Nomina     | Roh; semangat hidup; bagian non-materi dalam diri manusia
Juang        | Verba      | Berjuang; berusaha keras demi suatu tujuan
Kagum        | Adjektiva  | Merasa heran dan terkesan terhadap keindahan atau kehebatan
Karya        | Nomina     | Hasil ciptaan; pekerjaan yang menghasilkan sesuatu berharga
Kebaikan     | Nomina     | Sifat atau perbuatan yang baik; kebajikan
Kemenangan   | Nomina     | Keberhasilan mengalahkan lawan; pencapaian tujuan
Kepercayaan  | Nomina     | Keyakinan; anggapan benar terhadap seseorang atau hal
Kerjasama    | Nomina     | Kegiatan bersama untuk mencapai tujuan yang sama
Kesabaran    | Nomina     | Kemampuan menahan diri dalam menghadapi cobaan
Kreasi       | Nomina     | Hasil karya yang baru dan orisinal; karangan atau buatan
Kuasa        | Nomina     | Kekuatan; kewenangan; kemampuan berkuasa atas sesuatu
Ibadah       | Nomina     | Perbuatan untuk mendekatkan diri kepada Tuhan
Ikhtisar     | Nomina     | Ringkasan; inti sari dari suatu tulisan atau pembicaraan
Ikhtiar      | Nomina     | Usaha sungguh-sungguh untuk mencapai tujuan
Iklim        | Nomina     | Kondisi cuaca rata-rata suatu daerah dalam jangka panjang
Imajinatif   | Adjektiva  | Penuh imajinasi; kreatif dalam berpikir
Implikasi    | Nomina     | Akibat atau dampak yang timbul dari suatu tindakan
Individu     | Nomina     | Manusia sebagai satu pribadi yang utuh dan mandiri
Industri     | Nomina     | Kegiatan mengolah bahan mentah menjadi barang jadi
Infrastruktur| Nomina     | Fasilitas dasar yang mendukung kehidupan dan perekonomian
Inisiatif    | Nomina     | Kemampuan bertindak lebih dahulu tanpa harus diperintah
Inovasi      | Nomina     | Pembaruan; gagasan baru yang membawa perubahan positif
Instansi     | Nomina     | Badan atau lembaga pemerintah yang menangani urusan tertentu
Integritas   | Nomina     | Kejujuran dan konsistensi dalam prinsip moral
Interaksi    | Nomina     | Hubungan timbal balik antara dua pihak atau lebih
Internasional| Adjektiva  | Melibatkan banyak negara; berskala dunia
Interpretasi | Nomina     | Penafsiran; penjelasan tentang makna sesuatu
Investasi    | Nomina     | Penanaman modal untuk menghasilkan keuntungan di masa depan
Ironi        | Nomina     | Perbedaan tajam antara harapan dan kenyataan
Irigasi      | Nomina     | Pengairan lahan pertanian melalui saluran buatan
Isyarat      | Nomina     | Tanda atau gerakan yang mengandung makna tertentu
Jalanan      | Nomina     | Jalan yang dilalui kendaraan dan pejalan kaki
Jaminan      | Nomina     | Sesuatu yang diberikan sebagai tanggungan atau agunan
Jarak        | Nomina     | Ruang antara dua titik atau benda
Jasa         | Nomina     | Perbuatan baik yang bermanfaat bagi orang lain
Jawab        | Verba      | Memberikan respons terhadap pertanyaan atau tantangan
Jejak        | Nomina     | Bekas langkah kaki; tanda yang ditinggalkan
Jenderal     | Nomina     | Pangkat tertinggi dalam militer
Jenis        | Nomina     | Golongan; ragam; macam berdasarkan ciri tertentu
Jujur        | Adjektiva  | Berkata benar; tidak berbohong; tulus hati
Julukan      | Nomina     | Nama tambahan yang diberikan berdasarkan sifat atau prestasi
Kalimat      | Nomina     | Satuan bahasa terlengkap yang terdiri dari subjek dan predikat
